Date,BUBILL Close Rate
2022-08-31,0.032
2022-07-29,-0.06
2022-06-30,-0.499
2022-05-31,-0.639
2022-04-29,-0.721
2022-03-31,-0.763
2022-02-28,-0.752
2022-01-31,-0.677
2021-12-31,-0.737
2021-11-30,-0.987
2021-10-29,-0.845
2021-09-30,-0.674
2021-08-31,-0.678
2021-07-30,-0.674
2021-06-30,-0.667
2021-05-31,-0.658
2021-04-30,-0.642
2021-03-31,-0.665
2021-02-26,-0.623
2021-01-29,-0.636
2020-12-31,-0.826
2020-11-30,-0.76
2020-10-30,-0.743
2020-09-30,-0.633
2020-08-31,-0.584
2020-07-31,-0.578
2020-06-30,-0.563
2020-05-29,-0.558
2020-04-30,-0.599
2020-03-31,-0.709
2020-02-28,-0.642
2020-01-31,-0.597
2019-12-31,-0.763
2019-11-29,-0.653
2019-10-31,-0.643
2019-09-30,-0.598
